frame_id,t_capture_ns,t_estimate_ns,t_control_ns,t_actuate_ns,cap_to_est_ms,est_to_ctrl_ms,ctrl_to_act_ms,total_ms
68,1178587429782,1178589313100,1178589313711,1178589323414,1.88332,0.000611,0.009703,1.89363
69,1178620800447,1178622666303,1178622667099,1178622677246,1.86586,0.000796,0.010147,1.8768
70,1178654952058,1178658354978,1178658357866,1178658379995,3.40292,0.002888,0.022129,3.42794
71,1178687490130,1178689480367,1178689481126,1178689493033,1.99024,0.000759,0.011907,2.0029
72,1178720765375,1178722689283,1178722689838,1178722699838,1.92391,0.000555,0.01,1.93446
73,1178754098894,1178756042837,1178756043596,1178756053281,1.94394,0.000759,0.009685,1.95439
74,1178787412191,1178789293917,1178789294417,1178789304342,1.88173,0.0005,0.009925,1.89215
75,1178820724505,1178822610230,1178822610896,1178822621118,1.88573,0.000666,0.010222,1.89661
76,1178854063001,1178855976280,1178855976873,1178855986965,1.91328,0.000593,0.010092,1.92396
77,1178887414108,1178889356089,1178889357033,1178889369403,1.94198,0.000944,0.01237,1.9553
78,1178920696609,1178922602129,1178922603165,1178922612757,1.90552,0.001036,0.009592,1.91615
79,1178954103638,1178956051229,1178956052543,1178956067191,1.94759,0.001314,0.014648,1.96355
80,1178987362603,1178989270382,1178989271104,1178989286825,1.90778,0.000722,0.015721,1.92422
81,1179020711358,1179022627025,1179022627951,1179022640339,1.91567,0.000926,0.012388,1.92898
82,1179054039688,1179055947171,1179055948097,1179055962725,1.90748,0.000926,0.014628,1.92304
83,1179087356297,1179089288538,1179089289334,1179089302870,1.93224,0.000796,0.013536,1.94657
84,1179120648612,1179122530985,1179122531948,1179122544484,1.88237,0.000963,0.012536,1.89587
85,1179154010737,1179155930256,1179155930978,1179155942625,1.91952,0.000722,0.011647,1.93189
86,1179187311902,1179189200220,1179189201275,1179189212034,1.88832,0.001055,0.010759,1.90013
87,1179220637770,1179222505867,1179222506496,1179222517736,1.8681,0.000629,0.01124,1.87997
88,1179253931696,1179255808347,1179255808958,1179255818957,1.87665,0.000611,0.009999,1.88726
89,1179287280877,1179289157713,1179289158380,1179289168879,1.87684,0.000667,0.010499,1.888
90,1179320577617,1179322437140,1179322437769,1179322447472,1.85952,0.000629,0.009703,1.86986
91,1179353924057,1179355790506,1179355791080,1179355800431,1.86645,0.000574,0.009351,1.87637
92,1179387214502,1179389097486,1179389098116,1179389108819,1.88298,0.00063,0.010703,1.89432
93,1179420579959,1179422447963,1179422448834,1179422458759,1.868,0.000871,0.009925,1.8788
94,1179453909216,1179455829605,1179455830716,1179455841623,1.92039,0.001111,0.010907,1.93241
95,1179487227917,1179489164750,1179489165380,1179489176805,1.93683,0.00063,0.011425,1.94889
96,1179520517214,1179522402568,1179522403327,1179522415104,1.88535,0.000759,0.011777,1.89789
97,1179553870228,1179555740509,1179555741324,1179555751675,1.87028,0.000815,0.010351,1.88145
98,1179587158450,1179589019936,1179589020676,1179589030731,1.86149,0.00074,0.010055,1.87228
99,1179620531444,1179622396967,1179622397874,1179622407429,1.86552,0.000907,0.009555,1.87599
100,1179654505194,1179657940371,1179657942241,1179657961758,3.43518,0.00187,0.019517,3.45656
101,1179687236250,1179689229949,1179689231783,1179689245356,1.9937,0.001834,0.013573,2.00911
102,1179720527898,1179722429233,1179722430400,1179722442992,1.90133,0.001167,0.012592,1.91509
103,1179753842100,1179755736843,1179755737621,1179755749472,1.89474,0.000778,0.011851,1.90737
104,1179787162542,1179789078636,1179789079339,1179789090209,1.91609,0.000703,0.01087,1.92767
105,1179820490648,1179822388317,1179822389168,1179822398538,1.89767,0.000851,0.00937,1.90789
106,1179853811198,1179855769344,1179855770196,1179855781621,1.95815,0.000852,0.011425,1.97042
107,1179887161006,1179889115615,1179889116948,1179889129521,1.95461,0.001333,0.012573,1.96852
108,1179920422875,1179922329839,1179922330469,1179922340320,1.90696,0.00063,0.009851,1.91745
109,1179953841696,1179955754567,1179955756104,1179955771363,1.91287,0.001537,0.015259,1.92967
110,1179987099029,1179989004141,1179989004937,1179989017714,1.90511,0.000796,0.012777,1.91868
111,1180020461391,1180022344097,1180022345190,1180022359078,1.88271,0.001093,0.013888,1.89769
112,1180053744147,1180055631465,1180055632409,1180055646167,1.88732,0.000944,0.013758,1.90202
113,1180087094899,1180089015381,1180089016436,1180089029973,1.92048,0.001055,0.013537,1.93507
114,1180120387951,1180122265566,1180122266288,1180122279879,1.87762,0.000722,0.013591,1.89193
115,1180153748647,1180155632613,1180155633650,1180155646778,1.88397,0.001037,0.013128,1.89813
116,1180187030533,1180188944571,1180188945312,1180188959551,1.91404,0.000741,0.014239,1.92902
117,1180220388137,1180222265529,1180222266343,1180222279194,1.87739,0.000814,0.012851,1.89106
118,1180253753036,1180255701034,1180255702034,1180255715626,1.948,0.001,0.013592,1.96259
119,1180287045273,1180288951626,1180288952404,1180288963607,1.90635,0.000778,0.011203,1.91833
120,1180320358991,1180322270602,1180322271343,1180322281879,1.91161,0.000741,0.010536,1.92289
121,1180353671245,1180355538989,1180355539767,1180355549563,1.86774,0.000778,0.009796,1.87832
122,1180386997758,1180388897945,1180388898685,1180388908277,1.90019,0.00074,0.009592,1.91052
123,1180420315382,1180422218180,1180422219180,1180422229976,1.9028,0.001,0.010796,1.91459
124,1180453643284,1180455528972,1180455529657,1180455540397,1.88569,0.000685,0.01074,1.89711
125,1180486968871,1180488855947,1180488856799,1180488866910,1.88708,0.000852,0.010111,1.89804
126,1180520297273,1180522188404,1180522189256,1180522200311,1.89113,0.000852,0.011055,1.90304
127,1180553640414,1180555567247,1180555568247,1180555579839,1.92683,0.001,0.011592,1.93942
128,1180586928300,1180588876761,1180588877798,1180588890945,1.94846,0.001037,0.013147,1.96264
129,1180620271089,1180622187923,1180622188886,1180622199144,1.91683,0.000963,0.010258,1.92806
130,1180653983317,1180656999873,1180657002539,1180657031222,3.01656,0.002666,0.028683,3.04791
131,1180687280294,1180689895618,1180689897433,1180689916876,2.61532,0.001815,0.019443,2.63658
132,1180720509703,1180722983314,1180722984888,1180723003423,2.47361,0.001574,0.018535,2.49372
133,1180753828142,1180756197575,1180756198760,1180756215333,2.36943,0.001185,0.016573,2.38719
134,1180787108288,1180789493460,1180789494349,1180789509996,2.38517,0.000889,0.015647,2.40171
135,1180820496257,1180822884577,1180822885503,1180822900687,2.38832,0.000926,0.015184,2.40443
136,1180853755438,1180856161460,1180856162608,1180856176311,2.40602,0.001148,0.013703,2.42087
137,1180887140054,1180889549262,1180889550521,1180889567113,2.40921,0.001259,0.016592,2.42706
138,1180920416901,1180922802314,1180922803481,1180922817165,2.38541,0.001167,0.013684,2.40026
139,1180954024706,1180956428766,1180956430729,1180956452265,2.40406,0.001963,0.021536,2.42756
140,1180987061810,1180989460796,1180989462500,1180989485609,2.39899,0.001704,0.023109,2.4238
141,1181020388894,1181022780436,1181022782288,1181022805749,2.39154,0.001852,0.023461,2.41685
142,1181053714533,1181056085947,1181056087669,1181056107186,2.37141,0.001722,0.019517,2.39265
143,1181087039839,1181089515302,1181089516524,1181089537171,2.47546,0.001222,0.020647,2.49733
144,1181120355831,1181122715635,1181122717024,1181122738670,2.3598,0.001389,0.021646,2.38284
145,1181153652732,1181155966039,1181155967483,1181155989667,2.31331,0.001444,0.022184,2.33693
146,1181186987667,1181189354692,1181189355970,1181189376691,2.36702,0.001278,0.020721,2.38902
147,1181220285179,1181222630261,1181222631446,1181222651241,2.34508,0.001185,0.019795,2.36606
148,1181253651723,1181255996601,1181255997786,1181256026210,2.34488,0.001185,0.028424,2.37449
149,1181286943383,1181289321982,1181289322759,1181289339388,2.3786,0.000777,0.016629,2.39601
150,1181320264893,1181322640029,1181322641084,1181322656935,2.37514,0.001055,0.015851,2.39204
151,1181353605346,1181355975816,1181355976908,1181355992333,2.37047,0.001092,0.015425,2.38699
152,1181386914061,1181389347304,1181389348397,1181389365488,2.43324,0.001093,0.017091,2.45143
153,1181420250237,1181422647149,1181422648556,1181422667518,2.39691,0.001407,0.018962,2.41728
154,1181453599467,1181456029414,1181456030840,1181456046894,2.42995,0.001426,0.016054,2.44743
155,1181486906923,1181489356016,1181489357294,1181489369460,2.44909,0.001278,0.012166,2.46254
156,1181520229451,1181522675638,1181522676934,1181522694692,2.44619,0.001296,0.017758,2.46524
157,1181553546887,1181555971131,1181555972668,1181555991574,2.42424,0.001537,0.018906,2.44469
158,1181586847454,1181589325232,1181589326306,1181589341638,2.47778,0.001074,0.015332,2.49418
159,1181620170557,1181622551396,1181622552526,1181622571673,2.38084,0.00113,0.019147,2.40112
160,1181653583987,1181656025174,1181656026581,1181656047783,2.44119,0.001407,0.021202,2.4638
161,1181686910200,1181689446029,1181689447807,1181689469620,2.53583,0.001778,0.021813,2.55942
162,1181720161808,1181722762854,1181722764225,1181722781372,2.60105,0.001371,0.017147,2.61956
163,1181753530981,1181755893544,1181755894544,1181755913654,2.36256,0.001,0.01911,2.38267
164,1181786800087,1181789181890,1181789183260,1181789200907,2.3818,0.00137,0.017647,2.40082
165,1181820122317,1181822498749,1181822499879,1181822517526,2.37643,0.00113,0.017647,2.39521
166,1181853512264,1181855911639,1181855912861,1181855934600,2.39938,0.001222,0.021739,2.42234
167,1181886815087,1181889246256,1181889247830,1181889269588,2.43117,0.001574,0.021758,2.4545
168,1181920091930,1181922612038,1181922613056,1181922631500,2.52011,0.001018,0.018444,2.53957
169,1181953794375,1181956148660,1181956150641,1181956174177,2.35428,0.001981,0.023536,2.3798
170,1181986790793,1181989210092,1181989211981,1181989232461,2.4193,0.001889,0.02048,2.44167
171,1182020099597,1182022432754,1182022433754,1182022452753,2.33316,0.001,0.018999,2.35316
172,1182053408882,1182055800980,1182055802276,1182055821090,2.3921,0.001296,0.018814,2.41221
173,1182086719261,1182089094952,1182089095952,1182089111266,2.37569,0.001,0.015314,2.39201
174,1182120045453,1182122590318,1182122591317,1182122606983,2.54487,0.000999,0.015666,2.56153
175,1182153489451,1182155843385,1182155844570,1182155862995,2.35393,0.001185,0.018425,2.37354
176,1182186695318,1182189072250,1182189073342,1182189089823,2.37693,0.001092,0.016481,2.39451
177,1182220029009,1182222381850,1182222383110,1182222403090,2.35284,0.00126,0.01998,2.37408
178,1182253380996,1182255743651,1182255744780,1182255765261,2.36266,0.001129,0.020481,2.38427
179,1182286673560,1182289069213,1182289070658,1182289085471,2.39565,0.001445,0.014813,2.41191
180,1182319994567,1182322530711,1182322531637,1182322548654,2.53614,0.000926,0.017017,2.55409
181,1182353358905,1182355721449,1182355722449,1182355739614,2.36254,0.001,0.017165,2.38071
182,1182386647266,1182389066584,1182389067825,1182389081453,2.41932,0.001241,0.013628,2.43419
183,1182419965070,1182422371907,1182422373111,1182422389628,2.40684,0.001204,0.016517,2.42456
184,1182453287336,1182455656898,1182455658527,1182455679378,2.36956,0.001629,0.020851,2.39204
185,1182486627008,1182489038919,1182489040364,1182489056974,2.41191,0.001445,0.01661,2.42997
186,1182519967829,1182522431996,1182522432922,1182522450235,2.46417,0.000926,0.017313,2.48241
187,1182553281985,1182555638918,1182555640270,1182555657898,2.35693,0.001352,0.017628,2.37591
188,1182586602825,1182588975017,1182588976109,1182588991719,2.37219,0.001092,0.01561,2.38889
189,1182619931646,1182622294320,1182622295301,1182622312745,2.36267,0.000981,0.017444,2.3811
190,1182653384348,1182655774539,1182655775835,1182655796056,2.39019,0.001296,0.020221,2.41171
191,1182686648637,1182689081806,1182689083917,1182689102675,2.43317,0.002111,0.018758,2.45404
192,1182719906852,1182722397610,1182722399091,1182722418978,2.49076,0.001481,0.019887,2.51213
193,1182753201398,1182755472615,1182755473596,1182755491873,2.27122,0.000981,0.018277,2.29047
194,1182786507647,1182788817861,1182788819083,1182788832712,2.31021,0.001222,0.013629,2.32506
195,1182819821207,1182822118348,1182822119181,1182822136199,2.29714,0.000833,0.017018,2.31499
196,1182853207429,1182855584583,1182855585583,1182855603767,2.37715,0.001,0.018184,2.39634
197,1182886555691,1182888976286,1182888978045,1182888995655,2.4206,0.001759,0.01761,2.43996
198,1182919851437,1182922314696,1182922316104,1182922335195,2.46326,0.001408,0.019091,2.48376
